iter	RMSE
0	9202.545858
1	8853.186517
2	8523.107603
3	8213.422695
4	7927.061732
5	7649.26299
6	7386.217663
7	7139.601027
8	6909.687877
9	6695.135584
10	6484.92291
11	6289.960941
12	6106.249566
13	5935.651613
14	5779.556405
15	5625.987938
16	5483.161526
17	5353.399412
18	5232.660353
19	5110.39277
20	4995.988518
21	4891.19898
22	4792.964632
23	4668.241018
24	4551.552636
25	4445.308595
26	4344.508989
27	4247.909885
28	4157.986406
29	4076.439193
30	3999.373266
31	3927.099119
32	3858.970779
33	3793.676964
34	3734.573243
35	3678.900997
36	3626.24104
37	3579.793429
38	3534.21222
39	3492.787289
40	3455.785843
41	3418.187715
42	3384.515556
43	3351.045387
44	3320.577813
45	3290.757694
46	3262.268609
47	3236.027444
48	3211.248804
49	3186.998835
50	3164.656727
51	3144.988178
52	3126.931784
53	3108.69447
54	3091.93172
55	3074.963637
56	3059.169568
57	3043.510131
58	3030.148475
59	3016.256929
60	3003.572335
61	2991.332772
62	2979.381418
63	2968.430275
64	2957.746993
65	2948.768999
66	2939.848238
67	2929.061196
68	2921.617622
69	2914.728791
70	2906.957259
71	2898.652179
72	2891.865184
73	2885.793022
74	2876.921429
75	2870.686772
76	2865.334751
77	2859.498077
78	2852.476084
79	2846.433712
80	2836.662577
81	2831.235453
82	2825.265161
83	2820.261351
84	2813.66657
85	2809.057655
86	2802.872697
87	2798.570103
88	2794.661251
89	2790.918202
90	2787.295188
91	2784.351963
92	2780.070174
93	2776.107673
94	2770.527597
95	2767.605373
96	2764.233882
97	2761.336394
98	2758.521685
99	2754.921843
100	2750.928626
101	2748.137594
102	2745.082451
103	2742.279443
104	2739.936946
105	2737.580052
106	2734.518124
107	2730.008925
108	2727.316711
109	2723.009635
110	2720.087726
111	2717.539512
112	2712.141722
113	2710.237067
114	2706.454928
115	2703.569767
116	2700.941671
117	2696.090476
118	2693.369095
119	2689.095869
120	2680.830238
121	2675.544382
122	2672.817871
123	2669.606592
124	2668.233658
125	2664.431688
126	2661.932482
127	2654.653016
128	2650.865187
129	2645.49093
130	2641.999551
131	2639.030015
132	2636.967543
133	2633.256691
134	2630.224022
135	2627.180459
136	2625.388188
137	2624.414103
138	2620.333632
139	2617.830567
140	2613.764615
141	2607.460088
142	2606.514753
143	2604.491764
144	2601.406184
145	2598.016382
146	2595.068508
147	2592.150693
148	2589.24489
149	2585.726971
150	2582.659727
151	2580.934661
152	2577.695508
153	2576.051622
154	2572.360301
155	2568.463972
156	2566.652374
157	2564.710544
158	2562.238568
159	2559.050836
160	2555.93828
161	2553.826243
162	2550.958094
163	2549.377649
164	2547.097574
165	2544.322556
166	2540.792398
167	2538.648066
168	2535.946612
169	2534.096151
170	2530.456891
171	2528.80067
172	2525.505241
173	2524.239773
174	2523.425898
175	2520.91171
176	2519.957115
177	2519.002414
178	2517.278383
179	2513.924441
180	2508.382351
181	2507.295191
182	2504.961204
183	2501.092954
184	2499.896922
185	2498.797948
186	2496.781949
187	2495.230164
188	2493.973988
189	2491.639515
190	2490.958833
191	2486.716657
192	2484.410886
193	2482.558026
194	2479.816221
195	2479.091288
196	2476.337838
197	2475.150991
198	2471.626629
199	2469.197326
200	2466.979
201	2465.80469
202	2464.430227
203	2462.484109
204	2461.710806
205	2458.769937
206	2456.471835
207	2454.054171
208	2452.122088
209	2450.608618
210	2449.561983
211	2448.038104
212	2446.098571
213	2445.173538
214	2443.248563
215	2442.303436
216	2441.073348
217	2438.976924
218	2437.350759
219	2435.822791
220	2434.902592
221	2431.621512
222	2429.710384
223	2426.812624
224	2425.148305
225	2423.396034
226	2422.286419
227	2420.874254
228	2418.825431
229	2416.945298
230	2414.924781
231	2413.764525
232	2412.432643
233	2411.389715
234	2410.225669
235	2409.203825
236	2408.220915
237	2406.449901
238	2403.792776
239	2402.433324
240	2400.516436
241	2398.429613
242	2396.277659
243	2395.417325
244	2394.284058
245	2392.154545
246	2391.542963
247	2390.761986
248	2389.554306
249	2388.767991
250	2387.351125
251	2385.86318
252	2384.832305
253	2383.28947
254	2378.781156
255	2376.696594
256	2375.365453
257	2373.508104
258	2372.48964
259	2371.469047
260	2370.058658
261	2369.007344
262	2367.892203
263	2366.563901
264	2365.473564
265	2364.076926
266	2361.982048
267	2361.256221
268	2360.448962
269	2359.003538
270	2358.047804
271	2357.300615
272	2355.268227
273	2353.194337
274	2352.110009
275	2350.90609
276	2350.424584
277	2348.97698
278	2347.413059
279	2345.501311
280	2343.977886
281	2342.458024
282	2341.519799
283	2340.14464
284	2339.31053
285	2337.852517
286	2335.357496
287	2333.787519
288	2332.091949
289	2331.30767
290	2330.177094
291	2329.142281
292	2328.614262
293	2327.096552
294	2324.368261
295	2323.02031
296	2321.826409
297	2321.767847
298	2320.109037
299	2317.808061
300	2317.121279
301	2316.732661
302	2313.565161
303	2311.965928
304	2311.808782
305	2310.969567
306	2308.829131
307	2307.510002
308	2306.388037
309	2305.817541
310	2305.469927
311	2304.313697
312	2303.563673
313	2300.8862
314	2299.89677
315	2299.063819
316	2298.527425
317	2297.2952
318	2295.823153
319	2294.645165
320	2291.776003
321	2289.655097
322	2289.447515
323	2288.123006
324	2287.129779
325	2285.810213
326	2284.883484
327	2281.965268
328	2279.466701
329	2278.190118
330	2277.162737
331	2275.400016
332	2274.993945
333	2274.317397
334	2273.598942
335	2272.7474
336	2271.749327
337	2270.495947
338	2269.817271
339	2267.768094
340	2266.961385
341	2266.946822
342	2266.757402
343	2266.712098
344	2265.495392
345	2264.620818
346	2263.141502
347	2262.122155
348	2261.43033
349	2259.392159
350	2257.740649
351	2256.18717
352	2256.132094
353	2256.080538
354	2255.168505
355	2253.425349
356	2251.70711
357	2250.800203
358	2250.273336
359	2249.99335
360	2249.947377
361	2249.521541
362	2249.476866
363	2248.721991
364	2248.450696
365	2248.407863
366	2248.297939
367	2247.476014
368	2246.421456
369	2245.647763
370	2244.611393
371	2242.785229
372	2240.890368
373	2240.176818
374	2240.136069
375	2239.854706
376	2239.455772
377	2237.820757
378	2236.579949
379	2234.856604
380	2234.10986
381	2233.069332
382	2232.125477
383	2231.691755
384	2231.087647
385	2230.570572
386	2230.231185
387	2229.761846
388	2229.172283
389	2228.66525
390	2227.026056
391	2226.322944
392	2225.536299
393	2224.857943
394	2223.822373
395	2223.696502
396	2223.659465
397	2221.97286
398	2220.27615
399	2219.020854
400	2218.114754
401	2217.333913
402	2216.710021
403	2216.228044
404	2214.659333
405	2213.800079
406	2213.557669
407	2213.522377
408	2212.755447
409	2211.541537
410	2211.034503
411	2211.000375
412	2210.903144
413	2210.074539
414	2209.198366
415	2208.847329
416	2207.946015
417	2207.258374
418	2206.114888
419	2205.709624
420	2204.581634
421	2203.636943
422	2203.04542
423	2201.910627
424	2201.111945
425	2199.557849
426	2198.965678
427	2198.933143
428	2198.163195
429	2197.330755
430	2196.287024
431	2195.202615
432	2193.91759
433	2193.834284
434	2192.708811
435	2192.053322
436	2191.464439
437	2190.094263
438	2190.058899
439	2189.208525
440	2187.910186
441	2187.007599
442	2186.964097
443	2186.558759
444	2186.524725
445	2185.617131
446	2184.656586
447	2184.479924
448	2183.909678
449	2182.539087
450	2182.453108
451	2181.008202
452	2179.263553
453	2178.708365
454	2178.021415
455	2177.938655
456	2177.911631
457	2176.980177
458	2176.041927
459	2175.467405
460	2175.440996
461	2174.07917
462	2172.923281
463	2172.236166
464	2171.309075
465	2171.137262
466	2170.273417
467	2169.91591
468	2169.890862
469	2169.120029
470	2169.095548
471	2168.55768
472	2167.887074
473	2167.366018
474	2166.580827
475	2166.097253
476	2165.975442
477	2164.445814
478	2164.062414
479	2163.248342
480	2162.448529
481	2162.262262
482	2161.506194
483	2160.959146
484	2160.147764
485	2159.528349
486	2158.627144
487	2158.457371
488	2158.305424
489	2157.279211
490	2157.228753
491	2157.071318
492	2156.236808
493	2155.638604
494	2155.520175
495	2154.592353
496	2154.543632
497	2154.079996
498	2153.498378
499	2152.43589
